FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;FIELD_TAMBAHAN_1;FIELD_TAMBAHAN_2;FIELD_TAMBAHAN_3;FIELD_TAMBAHAN_4;FIELD_TAMBAHAN_5
FM;03;0;0041876372150;07;2018;31/07/2018;744936618613000;BERKAH INDUSTRI MESIN ANGKAT;JL. PERAK BARAT NO. 379 RT 02 RW 03, PERAK UTARA, SURABAYA;24049000;2404900;0;1;014;014;;;
FM;03;0;0041852068345;07;2018;31/07/2018;021578430522000;ARINDO JAYA;JL. KAUMAN NO. 29 RUKO NO. 5 RT 05, RW 07, TEGALREJA, CILACAP;170436062;17043606;0;1;014;014;;;
FM;03;0;0041852068317;07;2018;05/07/2018;021578430522000;ARINDO JAYA;JL. KAUMAN NO. 29 RUKO NO. 5 RT 05, RW 07, TEGALREJA, CILACAP;234095766;23409576;0;1;014;014;;;
FM;03;0;0041852068318;07;2018;05/07/2018;021578430522000;ARINDO JAYA;JL. KAUMAN NO. 29 RUKO NO. 5 RT 05, RW 07, TEGALREJA, CILACAP;156908717;15690871;0;1;014;014;;;
FM;03;1;0041880660037;07;2018;30/07/2018;031557697643000;CV METHA JAYA TEKNIK;JL IKAN ARWANA A-23 PERUM TAMBAKREJO INDAH RT 001 RW 012 TAMBAKREJO SIDOARJO;49425000;4942500;0;1;015;015;;;
FM;03;0;0031836902753;07;2018;13/07/2018;031134463615000;CV INDRA CIPTA PERSADA;Puri Gununganyar Regency Blok B/3 RT 002 RW 007 Gunung Anyar TAMBAK SURABAYA;51748000;5174800;0;1;015;015;;;
FM;01;1;0041876372086;07;2018;24/07/2018;744936618613000;BERKAH INDUSTRI ALAT ANGKAT, PT;JL. PERAK BARAT NO 379 RT 002 RW 003, PERAK UTARA, SURABAYA;3609672;360967;0;1;018;018;;;
FM;03;0;0041852068316;07;2018;05/07/2018;021578430522000;ARINDO JAYA;JL. KAUMAN NO. 29 RUKO NO. 5 RT 05, RW 07, TEGALREJA, CILACAP;192046882;19204688;0;1;014;014;;;
FM;01;0;0021899963401;07;2018;19/07/2018;014678148625000;KOPPELINDO III PROBOLINGGO;JL. TANJUNG TEMBAGA TIMUR NO 10 MAYANGAN PROBOLINGGO;310800;31080;0;0;016;016;;;
FM;01;0;0021899963403;07;2018;19/07/2018;014678148625000;KOPPELINDO III PROBOLINGGO;JL. TANJUNG TEMBAGA TIMUR NO 10 MAYANGAN PROBOLINGGO;525000;52500;0;0;016;016;;;
FM;03;0;0021845067774;07;2018;11/07/2018;318122546604000;CV CITA ABADI;JL.CANDI LONTAR TENGAH IV 43 K/19 LONTAR SURABAYA;115000000;11500000;0;1;015;015;;;
FM;03;0;0031870534352;07;2018;16/07/2018;210567319603000;CV KHARISMA JAYA;PERUM TAMAN ALOHA F4/7 SUKO, SIDOARJO;135000000;13500000;0;1;015;015;;;
